iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.034822866320610046
1000,-0.88,2.12,8,0.019996285438537598
1500,-1.0,2.0,9,0.005308532156050205
2000,-1.0,2.0,9,0.006833912804722786
2500,-1.0,2.0,8,0.005335672292858362
3000,-1.0,2.0,9,0.00675081554800272
3500,-0.88,2.12,8,0.01136018056422472
4000,-0.25,2.12,8,0.005911961197853088
4500,-0.25,2.0,8,0.003084928262978792
5000,0.0,2.0,8,0.0022879131138324738
5500,0.0,2.0,8,0.009512986987829208
6000,0.0,2.0,8,0.003916996996849775
6500,0.0,2.0,8,0.009472940117120743
7000,-0.3,2.0,10,0.002168860286474228
7500,0.0,2.12,8,0.0021750039886683226
8000,0.0,2.0,8,0.0033015510998666286
8500,0.0,2.0,8,0.0006976245203986764
9000,0.0,2.12,8,0.00041688099736347795
9500,0.0,2.0,8,0.0009639381896704435
10000,0.0,2.0,8,0.0015393244102597237
10500,0.0,2.0,8,0.0012593762949109077
11000,0.12,2.12,8,0.0024787215515971184
11500,0.25,2.25,8,0.00454670749604702
12000,0.0,2.0,8,0.0010374914854764938
12500,0.12,2.12,8,0.0008816334302537143
13000,0.0,2.0,8,0.0013429814716801047
13500,0.38,2.38,8,0.00026624646852724254
14000,0.38,2.38,8,0.0007668336038477719
14500,0.12,2.12,8,0.0015233049634844065
15000,0.38,2.38,8,0.0006231178413145244
15500,0.0,2.0,8,0.0022852816618978977
16000,0.38,2.5,8,0.0046784053556621075
16500,0.62,2.75,8,0.0033056579995900393
17000,0.5,2.5,8,0.005027014762163162
17500,0.88,3.0,8,0.0029474557377398014
18000,0.62,2.75,8,0.0022598293144255877
18500,0.67,3.0,9,0.0017628561472520232
19000,1.38,3.62,8,0.0034160020295530558
19500,1.91,4.36,11,0.013974163681268692
20000,2.38,5.38,8,0.006230014842003584
20500,1.5,3.88,8,0.012950843200087547
21000,3.12,6.12,8,0.004011995159089565
21500,3.0,6.0,8,0.013566922396421432
22000,6.25,9.25,8,0.0023808281403034925
22500,5.62,8.62,8,0.003907270263880491
23000,6.5,9.5,8,0.009462138637900352
23500,3.0,6.0,8,0.0056113554164767265
24000,5.75,8.75,8,0.004235717002302408
24500,11.88,14.88,8,0.0047104451805353165
25000,9.38,12.38,8,0.0035608347970992327
25500,5.12,8.12,8,0.009466884657740593
26000,9.0,12.0,8,0.0074931550770998
26500,10.12,13.12,8,0.004663802683353424
27000,8.62,11.62,8,0.006885876879096031
27500,6.12,9.12,8,0.0027366061694920063
28000,9.0,12.0,8,0.018843350932002068
28500,7.25,10.25,8,0.006361206527799368
29000,13.25,16.25,8,0.006492768879979849
29500,10.5,13.5,8,0.004665720742195845
30000,11.25,14.25,8,0.014082806184887886
30500,12.62,15.62,8,0.005923611577600241
31000,6.88,9.88,8,0.012870581820607185
31500,9.12,12.12,8,0.003988124430179596
32000,8.62,11.62,8,0.005376002751290798
32500,12.5,15.5,8,0.016974641010165215
33000,8.5,11.5,8,0.007342646364122629
33500,10.5,13.5,8,0.008789418265223503
34000,10.0,13.0,8,0.009319433011114597
34500,8.88,11.88,8,0.005090609192848206
35000,9.38,12.38,8,0.005783362779766321
35500,8.38,11.38,8,0.0063286954537034035
36000,10.38,13.38,8,0.004252113401889801
36500,14.25,17.25,8,0.010090254247188568
37000,13.38,16.38,8,0.00331994891166687
37500,7.5,10.5,8,0.004410714842379093
38000,12.12,15.12,8,0.006387721747159958
38500,11.88,14.88,8,0.01378009282052517
39000,13.38,16.38,8,0.009181777015328407
39500,12.62,15.62,8,0.010001763701438904
40000,10.25,13.25,8,0.010041425004601479
40500,19.0,22.0,8,0.006501777097582817
41000,11.88,14.88,8,0.011961279436945915
41500,10.12,13.12,8,0.003499520244076848
42000,17.5,20.5,8,0.0043374779634177685
42500,13.25,16.25,8,0.024591997265815735
43000,13.75,16.75,8,0.014615542255342007
43500,14.25,17.25,8,0.007553900592029095
44000,14.62,17.62,8,0.005269165150821209
44500,12.38,15.38,8,0.00982830673456192
45000,12.5,15.5,8,0.008421370759606361
45500,6.38,9.38,8,0.00929473340511322
46000,15.0,18.0,9,0.008439669385552406
46500,12.25,15.25,8,0.026711495593190193
47000,15.88,18.88,8,0.006639078259468079
47500,13.75,16.75,8,0.007683814037591219
48000,13.5,16.5,8,0.011171085759997368
48500,12.25,15.25,8,0.008236821740865707
49000,13.38,16.38,8,0.015666667371988297
49500,14.88,17.88,8,0.005182734224945307
50000,13.88,16.88,8,0.005265108309686184
50500,12.0,15.0,8,0.00551819009706378
51000,12.12,15.12,8,0.011288232170045376
51500,15.88,18.88,8,0.025178804993629456
52000,13.75,16.75,8,0.010636504739522934
52500,19.75,22.75,8,0.010853145271539688
53000,12.75,15.75,8,0.018127458170056343
53500,16.0,19.0,8,0.021624067798256874
54000,15.62,18.62,8,0.00477341003715992
54500,20.25,23.25,8,0.011173263192176819
55000,13.88,16.88,8,0.019318053498864174
55500,17.0,20.0,8,0.018556691706180573
56000,18.5,21.5,8,0.006206580437719822
56500,18.38,21.38,8,0.009595705196261406
57000,16.0,19.0,8,0.006978276185691357
57500,14.38,17.38,8,0.0135733000934124
58000,12.38,15.38,8,0.016497381031513214
58500,12.25,15.25,8,0.006297416053712368
59000,13.25,16.25,8,0.010382245294749737
59500,14.62,17.62,8,0.02358081191778183
60000,15.25,18.25,8,0.006276835221797228
60500,17.5,20.5,8,0.006650853902101517
61000,16.12,19.12,8,0.013672089204192162
61500,21.5,24.5,8,0.007222368381917477
62000,12.5,15.5,8,0.00954551249742508
62500,14.75,17.75,8,0.01626025140285492
63000,15.88,18.88,8,0.013379130512475967
63500,13.75,16.75,8,0.00800116267055273
64000,15.38,18.38,8,0.016357120126485825
64500,15.12,18.12,8,0.012870482169091702
65000,16.12,19.12,8,0.007176307961344719
65500,16.25,19.25,8,0.01572323776781559
66000,15.38,18.38,8,0.007939210161566734
66500,14.88,17.88,8,0.017472192645072937
67000,14.12,17.12,8,0.019122246652841568
67500,18.38,21.38,8,0.013621460646390915
68000,19.62,22.62,8,0.025751695036888123
68500,18.25,21.25,8,0.017470574006438255
69000,17.5,20.5,8,0.009941807948052883
69500,12.62,15.62,8,0.011729780584573746
70000,14.62,17.62,8,0.006566234398633242
70500,17.25,20.25,8,0.0072222258895635605
71000,16.88,19.88,8,0.007992083206772804
71500,13.88,16.88,8,0.00891041848808527
72000,12.88,15.88,8,0.009113121777772903
72500,13.12,16.12,8,0.01945129781961441
73000,18.5,21.5,8,0.022959955036640167
73500,12.5,15.5,8,0.005083681084215641
74000,20.62,23.62,8,0.011878233402967453
74500,16.25,19.25,8,0.01447811909019947
75000,19.62,22.62,8,0.01877947896718979
75500,13.12,16.12,8,0.01303299330174923
76000,19.38,22.38,8,0.02599889226257801
76500,17.12,20.12,8,0.0320451483130455
77000,16.88,19.88,8,0.019715003669261932
77500,20.62,23.62,8,0.010929012671113014
78000,14.5,17.5,8,0.007734340149909258
78500,20.0,23.0,8,0.012234952300786972
79000,14.0,17.0,8,0.027885133400559425
79500,16.75,19.75,8,0.02210439369082451
80000,20.0,23.0,8,0.016285140067338943
80500,11.12,14.12,8,0.01749880611896515
81000,19.75,22.75,8,0.011880245991051197
81500,18.25,21.25,8,0.015110071748495102
82000,17.25,20.25,8,0.018650509417057037
82500,17.62,20.62,8,0.004646157845854759
83000,20.38,23.38,8,0.019300950691103935
83500,14.0,17.0,8,0.009668300859630108
84000,17.0,20.0,8,0.008660473860800266
84500,17.11,20.11,9,0.02282940223813057
85000,16.25,19.25,8,0.025300024077296257
85500,18.38,21.38,8,0.02933534048497677
86000,18.75,21.75,8,0.019075091928243637
86500,17.25,20.25,8,0.00807778537273407
87000,15.62,18.62,8,0.00612990977242589
87500,14.38,17.38,8,0.015377750620245934
88000,14.38,17.38,8,0.021276192739605904
88500,14.75,17.75,8,0.0270701851695776
89000,12.62,15.62,8,0.026026953011751175
89500,18.45,21.09,11,0.009322714060544968
90000,22.62,25.62,8,0.021523527801036835
90500,21.12,24.12,8,0.014929912984371185
91000,12.75,15.75,8,0.01198064535856247
91500,13.12,16.12,8,0.02114008367061615
92000,15.88,18.88,8,0.03531485050916672
92500,17.25,20.25,8,0.009824598208069801
93000,19.0,22.0,8,0.012650148011744022
93500,16.0,19.0,8,0.011083054356276989
94000,16.75,19.75,8,0.011525511741638184
94500,20.0,23.0,8,0.013288355432450771
95000,11.3,13.8,10,0.010549085214734077
95500,21.62,24.62,8,0.008135195821523666
96000,20.62,23.62,8,0.023243632167577744
96500,16.25,19.25,8,0.006544043775647879
97000,19.5,22.5,8,0.01808878406882286
97500,17.62,20.62,8,0.008947709575295448
98000,19.0,22.0,8,0.006817931309342384
